# E (eV)   doscond(E)
    1.558558559    1.100301676
    1.567567568    1.097398419
    1.576576577    1.094572185
    1.585585586    1.091821231
    1.594594595    1.089143911
    1.603603604    1.086538661
    1.612612613    1.084004002
    1.621621622    1.081538532
    1.630630631    1.079140919
    1.639639640    1.076809901
    1.648648649    1.074544281
    1.657657658    1.072342922
    1.666666667    1.070204746
    1.675675676    1.068128730
    1.684684685    1.066113905
    1.693693694    1.064159349
    1.702702703    1.062264192
    1.711711712    1.060427606
    1.720720721    1.058648810
    1.729729730    1.056927064
    1.738738739    1.055261669
    1.747747748    1.053651967
    1.756756757    1.052097335
    1.765765766    1.050597190
    1.774774775    1.049150983
    1.783783784    1.047758201
    1.792792793    1.046418366
    1.801801802    1.045131032
    1.810810811    1.043895788
    1.819819820    1.042712255
    1.828828829    1.041580085
    1.837837838    1.040498965
    1.846846847    1.039468610
    1.855855856    1.038488772
    1.864864865    1.037559231
    1.873873874    1.036679802
    1.882882883    1.035850332
    1.891891892    1.035070702
    1.900900901    1.034340826
    1.909909910    1.033660656
    1.918918919    1.033030176
    1.927927928    1.032449411
    1.936936937    1.031918423
    1.945945946    1.031437315
    1.954954955    1.031006234
    1.963963964    1.030625372
    1.972972973    1.030294966
    1.981981982    1.030015307
    1.990990991    1.029786739
    2.000000000    1.029609665
